model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,hour
blend_30persistence_70_lgbm_residual,2112,88.75076233363436,116.44054086352483,0.32270528229255135,-54.6387321650375,0.4465627270493582,7
persistence,2142,195.61275075733997,229.6164916017442,-0.5397762197283251,-172.19701779748937,0.0,8
lgbm_direct,2142,101.93912949244941,132.76123894506713,0.4852527352061907,-1.9089761173960595,0.4218131371185071,8
lgbm_residual,2142,101.31560494738915,132.96907891826373,0.4836397824794686,-4.756980711348032,0.4209079757699178,8
blend_70persistence_30_lgbm_residual,2142,155.71999729478878,188.7074201828719,-0.03999058860381721,-121.96500667164698,0.17816260118557414,8
blend_50persistence_50_lgbm_residual,2142,133.3816497585691,165.36229433443745,0.20140896049720247,-88.4769992544187,0.2798326758635078,8
blend_30persistence_70_lgbm_residual,2142,115.81796293058235,146.94661454156068,0.36937581227930005,-54.988991837190454,0.3600345797616723,8
persistence,2154,187.63079619312904,232.8216487934352,-0.05437861228449492,-131.56393082636956,0.0,9
lgbm_direct,2154,134.52841545049148,171.4742521258557,0.4280636471537498,5.094060321450759,0.2634952418965486,9
lgbm_residual,2154,131.56494133540713,170.9045580427651,0.43185765700342726,4.815991716857746,0.2659421538827963,9
blend_70persistence_30_lgbm_residual,2154,160.0059885834023,202.67681784716208,0.20097931804122693,-90.6499540634014,0.12947606505878806,9
blend_50persistence_50_lgbm_residual,2154,146.38486500524905,187.09953744660643,0.3190812480015438,-63.3739695547559,0.19638255971374252,9
blend_30persistence_70_lgbm_residual,2154,136.93974078122102,176.29200667588813,0.3954738257563959,-36.09798504611048,0.24280234424291658,9
persistence,2156,176.76302849191623,234.46087588565558,0.04960273417538774,-107.01390418764909,0.0,10
lgbm_direct,2156,135.78173562361232,173.7030364322306,0.47834997494952314,-5.433585541033711,0.2591384990093445,10
lgbm_residual,2156,132.6268801095399,173.61944706017528,0.47885191098090385,-7.916600178724287,0.2594950163674732,10
blend_70persistence_30_lgbm_residual,2156,154.87679323025077,204.86285179500484,0.27441074941285737,-77.28471298497168,0.12623864846894717,10
blend_50persistence_50_lgbm_residual,2156,144.0516789870895,189.59198321464592,0.3785526347160205,-57.46525218318669,0.19137048985900662,10
blend_30persistence_70_lgbm_residual,2156,136.70933797058592,178.99025693078102,0.44611042013506386,-37.64579138140177,0.2365879541537117,10
persistence,2109,156.58298408182617,223.2376137369009,0.0895941176178483,-27.63866409266409,0.0,11
