model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,segment_col,segment_val
pred_bin_bias,5333,72.2545602636647,96.36802076830257,0.2674650959379684,13.726712227721734,0.5646211140133806,pred_ghi_bin,100-300
pred_high_residual_cal,5333,75.13010239485686,98.53298705488103,0.23418169729183924,23.624541529527214,0.5548400621402145,pred_ghi_bin,100-300
pred_high_residual_cal_full,5333,75.2902834225545,98.75661911784206,0.2307015251996286,23.648055651853976,0.5538297199367883,pred_ghi_bin,100-300
pred_blend_raw_highcal_50,5333,74.99075254881592,98.31867217011131,0.23750947155698787,23.589270346037072,0.555808310476514,pred_ghi_bin,100-300
pred_blend_iso_highcal_50,5333,74.39424806829048,97.86964155778833,0.24445829901563243,22.02148840119728,0.5578369756520405,pred_ghi_bin,100-300
persistence,7400,210.58621417567568,259.4663161422834,-1.0509692288342105,-14.72950177027027,0.0,pred_ghi_bin,300-600
pred_raw,7400,126.20090546716446,157.70179272077814,0.24234684930913453,8.822113354499717,0.3922070692432412,pred_ghi_bin,300-600
pred_isotonic,7400,126.53332574036158,158.47880176764653,0.2348624239771625,14.590420628269337,0.38921242601393546,pred_ghi_bin,300-600
pred_bin_bias,7400,126.65244073557284,158.85310486890492,0.23124387596401608,21.730003241619677,0.3877698376008286,pred_ghi_bin,300-600
pred_high_residual_cal,7400,127.98545894270565,159.345033279075,0.22647521208588284,13.664906085118005,0.38587391362316537,pred_ghi_bin,300-600
pred_high_residual_cal_full,7400,128.77287348870058,160.35749278577183,0.2166142133452379,15.279170328657438,0.3819718290607068,pred_ghi_bin,300-600
pred_blend_raw_highcal_50,7400,126.97386112560018,158.25915066712514,0.23698191050976158,11.243509719808861,0.39005897559226665,pred_ghi_bin,300-600
pred_blend_iso_highcal_50,7400,127.10699051992114,158.61114939174695,0.23358393849342662,14.127663356693674,0.38870234969239925,pred_ghi_bin,300-600
persistence,8528,171.10944195590994,225.04717786103714,-0.3309370969536456,-33.81984908536585,0.0,pred_ghi_bin,600-900
pred_raw,8528,142.02382422371068,177.3553651826388,0.1733930553629215,3.2819470915340734,0.21191917682188066,pred_ghi_bin,600-900
pred_isotonic,8528,142.6204425134802,177.53880688449402,0.17168222351461726,0.30439018537702617,0.21110405128421006,pred_ghi_bin,600-900
pred_bin_bias,8528,137.54732250564695,179.94989766913298,0.14903128114252218,30.17954838916742,0.20039033868601086,pred_ghi_bin,600-900
pred_high_residual_cal,8528,144.3473363370606,185.57907502580017,0.09495869691098646,23.842599260251863,0.17537701743413048,pred_ghi_bin,600-900
