model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,experiment,test_rows
blend_70persistence_30residual,25336,133.10910822553353,180.20581936501867,0.6793299953784178,1.3048529070557415,0.18158133444340352,all_daylight,25336
blend_50persistence_50residual,16622,136.69020152695688,180.62000620319373,0.5571295237506453,3.0410791347853956,0.2616490637779114,midday_08_15,16622
blend_50persistence_50residual,13828,136.8829171588742,182.1795402431016,0.5077859887319669,10.049190859268409,0.25313106570288235,clp_very_high_sun,13828
blend_30persistence_70residual,8451,136.62768783207017,182.80479396881108,0.45267235279427254,3.825692407756062,0.25306910939213545,seg_hour_midday,8451
blend_50persistence_50residual,14289,138.44219815520825,183.61185592158637,0.4971908703189446,6.025856454826816,0.24711255465275062,very_high_sun,14289
blend_50persistence_50residual,14956,139.43411068281418,185.60822714217912,0.5543776699437974,12.492695142233739,0.2541335226729754,seg_solar_high_sun,14956
lgbm_direct,8451,147.3320558669028,185.621030886963,0.43567851468278707,5.61544994213562,0.24156211166101005,seg_hour_midday,8451
blend_70persistence_30residual,21996,142.32287365682365,188.37294110398932,0.6294731966964124,6.919680899173264,0.18277202702727302,clp_required,21996
blend_50persistence_50residual,8451,140.98867608940836,193.70330493647586,0.3854654760896866,6.51366923085576,0.20853835980596058,seg_hour_midday,8451
blend_70persistence_30residual,19245,151.03196680104355,197.31033519492132,0.508321543455873,1.600569917426584,0.17789678204522785,high_sun,19245
persistence,6030,166.7914509918879,197.38370758742877,0.11732793240211936,-19.60187885885835,0.0,seg_solar_medium_sun,6030
blend_70persistence_30residual,18737,151.03780376155456,197.55857221316214,0.5077374219981494,2.718077181815804,0.17687766096640722,clp_high_sun,18737
persistence,8756,148.98398695535454,202.51976969525126,-0.14803875908640096,137.93055783246737,0.0,seg_hour_afternoon,8756
blend_70persistence_30residual,16622,153.76041403693642,202.72137434603113,0.44211574170926216,6.255985332640917,0.17130156461054347,midday_08_15,16622
blend_70persistence_30residual,13828,153.18095704678402,203.38299303178198,0.386543126256764,14.176950230673205,0.1662047282746012,clp_very_high_sun,13828
blend_70persistence_30residual,14289,154.015437195804,204.25185237414587,0.37779467780807996,10.476365483825541,0.1624797071541655,very_high_sun,14289
blend_70persistence_30residual,14956,155.2252561931337,207.25326624007837,0.4443833300202399,18.025662996011512,0.16715295445070033,seg_solar_high_sun,14956
blend_70persistence_30residual,8451,151.29829784573874,210.6997232914958,0.2728899367730687,9.201646053955375,0.1390918774493498,seg_hour_midday,8451
persistence,8129,177.72355874031246,211.3275977433446,0.24061132446300126,-154.99460809447655,0.0,seg_hour_morning,8129
persistence,25336,167.50815615875538,220.18781700495907,0.5212516539209822,2.3526225205669453,0.0,all_daylight,25336
persistence,21996,178.73611913703525,230.50231677553677,0.44520417763002984,10.672517479591022,0.0,clp_required,21996
persistence,19245,187.80734593970672,240.00676665126048,0.2725075621583465,3.291040756171095,0.0,high_sun,19245
persistence,18737,187.87410068899266,240.0111901289311,0.27344575403783666,5.465940083925533,0.0,clp_high_sun,18737
persistence,14289,186.8716176309449,243.8768996033667,0.11296032664416378,17.152129027323717,0.0,very_high_sun,14289
persistence,13828,186.8947919676433,243.92437799618983,0.11760064688312466,20.368589287780487,0.0,clp_very_high_sun,13828
persistence,16622,188.66416986715663,244.62623034971682,0.18763525165954253,11.078344629424286,0.0,midday_08_15,16622
persistence,8451,176.87469478844432,244.7412421516555,0.018960385400582314,13.2336112886049,0.0,seg_hour_midday,8451
persistence,14956,188.66466248041877,248.8491342409525,0.19897740198754155,26.325114776678255,0.0,seg_solar_high_sun,14956
