model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,experiment,split,n_train,n_valid,n_test
midday_08_15_train_persistence,42743,184.62432236798543,236.48899452898718,0.25859121133873575,10.115931199158638,0.0,midday_08_15,train,42743,16851,16622
midday_08_15_train_lgbm_direct,42743,98.010228374937,132.64480407633783,0.7667528502581066,-0.0333326127107848,0.4391079198398843,midday_08_15,train,42743,16851,16622
midday_08_15_train_lgbm_residual,42743,97.95630129111119,133.03090849571194,0.7653929956198506,-0.02176831255393035,0.43747526703867,midday_08_15,train,42743,16851,16622
midday_08_15_train_blend_30persistence_70residual,42743,111.22840524782492,149.09304586407487,0.7053200180748522,3.019541540959808,0.36955609219354146,midday_08_15,train,42743,16851,16622
midday_08_15_train_blend_50persistence_50residual,42743,127.89838621791071,168.97717279185696,0.6214772912642171,5.047081443302354,0.28547553289569716,midday_08_15,train,42743,16851,16622
midday_08_15_train_blend_70persistence_30residual,42743,148.73161976906107,193.70251700037835,0.5025993043624064,7.074621345644835,0.18092375763120072,midday_08_15,train,42743,16851,16622
midday_08_15_valid_persistence,16851,187.64493206337903,244.02762431499744,0.2046453201188576,15.620612177318852,0.0,midday_08_15,valid,42743,16851,16622
midday_08_15_valid_lgbm_direct,16851,110.63759852598328,153.3899047104754,0.6857491853372966,3.531085131261928,0.37142401340400877,midday_08_15,valid,42743,16851,16622
midday_08_15_valid_lgbm_residual,16851,109.78673755290079,152.8306515598342,0.6880364985434169,2.5213515325750193,0.373715775052761,midday_08_15,valid,42743,16851,16622
midday_08_15_valid_blend_30persistence_70residual,16851,120.24915226126227,164.15905214016647,0.6400745730144753,6.451129725998137,0.3272931595307196,midday_08_15,valid,42743,16851,16622
midday_08_15_valid_blend_50persistence_50residual,16851,134.749770828476,181.11465033455727,0.5618830855197399,9.070981854946938,0.2578108693925176,midday_08_15,valid,42743,16851,16622
midday_08_15_valid_blend_70persistence_30residual,16851,153.60258966794675,203.53157924166246,0.44671810164465164,11.69083398389567,0.16594861006826667,midday_08_15,valid,42743,16851,16622
midday_08_15_test_persistence,16622,188.66416986715663,244.62623034971682,0.18763525165954253,11.078344629424286,0.0,midday_08_15,test,42743,16851,16622
midday_08_15_test_lgbm_direct,16622,124.34817407033074,160.20640541557614,0.6515786366004961,2.054429697674288,0.3450971909817454,midday_08_15,test,42743,16851,16622
