model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,segment_col,segment_val
persistence,2049,166.58082008645331,215.11032666200438,0.48498364851185005,-1.2400681795998048,0.0,month,1
persistence,2009,174.99140149328025,215.05931303402636,0.4354450707861981,-1.8662093578894978,0.0,month,5
persistence,2014,169.83361826270317,210.61652874643758,0.41560338732798185,-2.3912374473266396,0.0,month,7
persistence,2169,184.35619883714972,210.25708760380485,-1.2061125276512716,-177.90022013728802,0.0,hour,7
lgbm_residual,2254,174.24089522609756,207.17966848175791,-11.640192380010847,-173.93580775424599,0.17081371252303734,target_ghi_bin,900+
lgbm_residual,2254,174.24089522609756,207.17966848175791,-11.640192380010847,-173.93580775424599,0.17081371252303734,target_ghi_bin,900+
persistence,1875,159.25314623999998,200.68565646330998,0.44392815182975187,-2.4574930133333344,0.0,month,6
persistence,6146,166.69164885797008,197.41466490728243,0.1158730634666093,-19.551316420259656,0.0,solar_segment,medium
persistence,3495,133.01735610872674,193.59029299257597,-39.53436549630387,115.3062643776824,0.0,target_ghi_bin,0-100
lgbm_residual,2161,148.42871719597989,188.92241621313073,0.3527589057396352,-18.187364415014816,0.20336246069509345,hour,12
lgbm_residual,2161,148.42871719597989,188.92241621313073,0.3527589057396352,-18.187364415014816,0.20336246069509345,hour,12
lgbm_residual,2139,145.39280664657912,180.45335633967258,0.39942103730311507,-25.34391571311014,0.3525547017687358,hour,13
lgbm_residual,2139,145.39280664657912,180.45335633967258,0.39942103730311507,-25.34391571311014,0.3525547017687358,hour,13
lgbm_residual,2130,136.37854289109322,176.00648539746862,0.4311224646005616,-5.8372955173755185,0.20920231006918677,hour,11
lgbm_residual,2130,136.37854289109322,176.00648539746862,0.4311224646005616,-5.8372955173755185,0.20920231006918677,hour,11
lgbm_residual,2174,135.3437435201158,173.3420159730088,0.4780328204222343,-8.580230359966304,0.259185080131353,hour,10
lgbm_residual,2174,135.3437435201158,173.3420159730088,0.4780328204222343,-8.580230359966304,0.259185080131353,hour,10
lgbm_residual,578,137.79915964409872,172.15673196855644,0.6703840803032328,-6.94757886583998,0.244026137713382,has_clp,False
lgbm_residual,578,137.79915964409872,172.15673196855644,0.6703840803032328,-6.94757886583998,0.244026137713382,has_clp,False
lgbm_residual,2157,135.79264183179492,171.59378533806685,0.42789023458089714,4.873239353179827,0.26285451167101315,hour,9
lgbm_residual,2157,135.79264183179492,171.59378533806685,0.42789023458089714,4.873239353179827,0.26285451167101315,hour,9
lgbm_residual,1977,125.05071914870416,168.5529685247385,0.7364729389587492,3.24386248670015,0.36629363410375093,month,9
lgbm_residual,1977,125.05071914870416,168.5529685247385,0.7364729389587492,3.24386248670015,0.36629363410375093,month,9
persistence,2138,140.2317954162769,168.27402118776573,-8.21189035137864,138.90810617399438,0.0,hour,16
lgbm_residual,15201,128.4706892978286,165.57755892248937,0.6447412465764151,-10.38564467225867,0.33437956338403796,solar_segment,high
lgbm_residual,15201,128.4706892978286,165.57755892248937,0.6447412465764151,-10.38564467225867,0.33437956338403796,solar_segment,high
lgbm_residual,1880,119.4783097307526,163.82591489710146,0.7298565133367321,8.205799956858867,0.35025517193202105,month,10
lgbm_residual,1880,119.4783097307526,163.82591489710146,0.7298565133367321,8.205799956858867,0.35025517193202105,month,10
persistence,2369,142.17990759814268,161.4037586469757,-1.4541746457015927,-135.17558062473617,0.0,solar_segment,low
persistence,1736,135.48322701612904,153.00771861277678,-1.9467289912202639,-135.1594758640553,0.0,hour,6
lgbm_residual,2026,111.66990196454967,148.26944421326363,0.7973267146746335,-1.1601021370742006,0.394488328692316,month,3
lgbm_residual,2026,111.66990196454967,148.26944421326363,0.7973267146746335,-1.1601021370742006,0.394488328692316,month,3
lgbm_residual,2152,114.28460552564981,146.5159712073405,0.41549688923352535,-24.40708701391306,0.48067248035083787,hour,14
lgbm_residual,2152,114.28460552564981,146.5159712073405,0.41549688923352535,-24.40708701391306,0.48067248035083787,hour,14
