,count,mean,min,25%,50%,75%,max,std
kt_lag_60m,117559.0,0.5337787095728638,0.0,0.2884411360515219,0.5650530361287802,0.8109921908315758,1.8228032587747973,0.3049025148085467
kt_roll30m_mean,117559.0,0.5586178907186853,0.0,0.32934821202708137,0.5859252073649426,0.8002856841734516,3.359231196993344,0.2790394055875558
kt_roll60m_mean,117559.0,0.5513632571581757,0.0,0.3308140600981595,0.5876639589339661,0.7873957306389405,2.623213404629176,0.2720830286834526
kt_roll30m_std,117559.0,0.06599482794277998,0.0,0.018126342544278088,0.04281206346377756,0.09156718847891196,2.2661983085129016,0.07305251533364086
syn_cloud_cover_oktas_m,107107.0,5.967331733686874,0.0,5.0,6.0,7.0,8.0,1.661752208811449
syn_cloud_low_cover_oktas,107107.0,2.3890035198446413,0.0,2.0,2.0,3.0,9.0,1.0751337305065118
syn_cloud_med_cover_oktas,107107.0,3.0028289467541804,0.0,2.0,3.0,4.0,8.0,1.5553516783310894
syn_cloud_low_base_1,106740.0,648.4701986134532,1.0,600.0,600.0,600.0,9999.0,863.976403787487
syn_cloud_low_base_2,52826.0,668.0334305077046,60.0,600.0,600.0,750.0,9999.0,126.79893396158808
syn_cloud_low_base_3,3339.0,706.9871218927823,0.0,750.0,750.0,750.0,750.0,83.12084233013323
syn_cloud_med_base_1,105488.0,3222.2775102381315,600.0,3000.0,3000.0,3000.0,9999.0,1236.1080588160953
syn_cloud_med_base_2,11168.0,3001.6117478510027,3000.0,3000.0,3000.0,3000.0,6000.0,69.52034654119512
syn_cloud_high_base_1,101165.0,8998.777373597588,3000.0,9000.0,9000.0,9000.0,9999.0,231.19811150388028
syn_cloud_high_base_2,1944.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,0.0
syn_cloud_layer_1_height_m,35096.0,623.6189309323,60.0,600.0,600.0,600.0,9000.0,570.3700520573169
syn_cloud_layer_2_height_m,22209.0,2362.41073438696,450.0,600.0,3000.0,3000.0,9000.0,1734.192443131016
syn_cloud_layer_3_height_m,6966.0,3166.6666666666665,750.0,3000.0,3000.0,3000.0,9000.0,1006.6462553534323
syn_cloud_layer_4_height_m,36.0,8000.0,3000.0,9000.0,9000.0,9000.0,9000.0,2267.786838055363
syn_cloud_layer_1_amt_oktas,35096.0,1.7857875541372237,1.0,1.0,2.0,2.0,6.0,0.8270872103424165
syn_cloud_layer_2_amt_oktas,22209.0,3.3342788959430862,1.0,2.0,3.0,4.0,12.0,1.4079320867891238
syn_cloud_layer_3_amt_oktas,6966.0,4.345248349124318,3.0,4.0,4.0,5.0,8.0,1.0320546433412388
syn_cloud_layer_4_amt_oktas,36.0,5.666666666666667,5.0,5.0,5.0,7.0,7.0,0.9561828874675149
syn_present_weather,107107.0,11.14130729084,0.0,2.0,3.0,5.0,9999.0,150.51575721027382
syn_past_weather_1,104638.0,2.211213899348229,0.0,2.0,2.0,2.0,9.0,1.7917704781145296
syn_past_weather_2,104638.0,1.838146753569449,0.0,2.0,2.0,2.0,9.0,1.2311010161015272
solar_elev_sin,117559.0,0.6067338122340874,9.181156971594814e-05,0.36235092750117026,0.6705218652243424,0.8761410467284092,0.9998830082771607,0.2952563808681759
solar_elev_sin_clip,117559.0,0.6068664839912499,0.02,0.36235092750117026,0.6705218652243424,0.8761410467284092,0.9998830082771607,0.2949898574538624
clear_sky_ghi_now,117559.0,667.5531323903749,22.0,398.58602025128727,737.5740517467767,963.7551514012501,1099.8713091048767,324.48884319924866
kt_now,117559.0,0.5638033820805726,0.0,0.3247163497929833,0.5765771420912253,0.8133184098952801,5.31625860236222,0.2954864822037804
ghi_to_aws_sr_ratio,114644.0,1.1505904232076902,0.0,0.88219733324245,1.001086729410055,1.1828335407918282,47.888999999999996,0.9440234397454071
dhi_fraction,117559.0,0.41384647314397205,0.0,0.023381824627090347,0.38090999999999997,0.7567457595296306,1.4175,0.35560842226498784
dni_fraction,117559.0,0.5916391296107204,0.0,0.25284228524723307,0.5951046523162384,0.9545477209169111,7.5492935879521825,0.38974800210387794
temp_rh_interaction,117559.0,2216.582600014664,823.8850000000001,2117.8759499999996,2231.0456,2333.14135,3279.9999999999995,170.9672061842879
vpd_proxy,117559.0,6.7505630666895735,0.0,4.545779,6.9996,9.021488008700075,21.55929110880902,3.4671130755779878
wind_u,117559.0,-0.527271064515836,-10.256847798281592,-1.8396946517157142,-0.06531232058949359,0.597820821584272,5.466366010952399,1.572341117281738
wind_v,117559.0,-0.6041029715005257,-7.1792008655813895,-1.1400168514771711,-0.22629776973712382,0.08122278861767955,4.22983082220056,1.2556578804664522
clp_cot_delta_10m,94106.0,0.3615785751681521,-95.4158811569214,-0.3169221282005308,0.028420835733413696,0.4769879877567291,121.3612117767334,3.2294454481773114
clp_cot_delta_30m,91002.0,0.9809677481593545,-89.7069091796875,-0.6281063854694366,0.101631909608841,1.1418396234512331,140.80000019073486,6.3821231770079425
clp_cot_delta_60m,86403.0,1.751394555390673,-140.8983030319214,-0.903741240501404,0.23271608352661133,1.9647328853607178,139.17598342895508,9.802588567617553
clp_cth_delta_60m,86403.0,0.09009112873788677,-12.700501084327698,-0.8648228645324707,0.006855487823486328,0.9573477506637573,12.37591516971588,1.7364240712266024
clp_cot_delta_180m,97558.0,1.6094627128476031,-94.55844688415527,-1.078278786703652,0.07051657272709749,1.6872276479707047,132.7837154865265,9.241171340266577
clp_cth_delta_180m,97558.0,0.09315536976671245,-7.115192386839125,-0.7837148393903461,0.0,0.8606556607227702,8.0602707862854,1.5670621328303111
ghi_roll_180m_range,117559.0,441.767553534891,0.0,260.96000000000004,465.40999999999997,614.7102500000001,1184.8919999999998,237.2742179146503
ghi_roll_60m_range,117559.0,193.89559530803044,0.0,84.55000000000001,160.85399999999998,261.475,1121.717,150.47003835979777
ghi_ramp_ratio_60m,117559.0,0.6182176112725325,-1.0,-0.3027427267119883,0.08560709413369719,0.8105308660035111,36.4005,1.6991216241193565
aws_temp_range,117559.0,2.365111692695889,0.0,0.3000000000000007,0.6000000000000014,4.998792340380941,16.299999999999997,2.7822372345785173
cloud_opacity_proxy,97558.0,0.005836278658775165,0.0,0.0,0.0,0.0,0.4999999403953552,0.0485141655582101
cloud_height_temp_interaction,97558.0,2000.2333495906096,34.60085871080991,1528.1179618188035,2140.384007706838,2537.3924724512617,3225.922351320987,653.4027517448823
syn_total_cloud_oktas,107107.0,5.969423100264222,0.0,5.0,6.0,7.0,9.0,1.6598694155563556
syn_low_cloud_present,117559.0,0.9004414804481154,0.0,1.0,1.0,1.0,1.0,0.2994117287449943
syn_multi_layer_cloud_flag,117559.0,0.18891790505193137,0.0,0.0,0.0,0.0,1.0,0.39144505824805037
syn_cloud_base_min,107076.0,618.5120942134558,0.0,600.0,600.0,600.0,9999.0,552.0142162788665
syn_cloud_depth_proxy,35096.0,1647.1378504672898,0.0,0.0,2400.0,2400.0,8550.0,1670.7104905268766
syn_weather_cloud_rain_proxy,117559.0,13.755042149048563,0.0,5.0,6.0,9.0,10010.0,143.97155593872185
kt_wavelet_trend,117559.0,1.133527596896117,-0.25945670417344735,0.6587378505024276,1.2085633072661064,1.6512541636719584,5.825856312312824,0.5909212775773998
kt_wavelet_detail1_energy,117559.0,0.08278383175596446,0.0,0.04939322955154335,0.07828288998429231,0.11181703412740462,1.1882896435115762,0.04848269067610969
kt_wavelet_detail2_energy,117559.0,0.12266004546922549,0.0,0.0676091909923447,0.11323531081487609,0.16866738375459694,0.9269145641658193,0.07322745326144327
