ts_wib,target_ts_60m,target_ghi_60m,ghi_now,hour,month,solar_elev_deg,solar_segment,target_ghi_bin,has_clp,has_synop,clp_qc_status,synop_qc_status,persistence,direct_all_features,direct_no_cloud_features,direct_rad_met_features,direct_regularized_all,direct_deeper_all,direct_smooth_all,direct_top20,direct_top40,direct_top60,ensemble_direct_mean,ensemble_best2_mean,best_model_prediction,best_model_error,persistence_error
2025-09-14 10:50:00,2025-09-14 11:50:00,205.49,878.05,10,9,70.4688494364104,high,100-300,True,True,ok,ok,878.05,790.1653413714861,799.9531717336502,801.755852229396,790.2663238680952,765.1547499037316,799.1715040876609,805.2108438441193,791.0516295692796,786.9797105658463,792.1899030192517,788.6230172169708,790.2663238680952,584.7763238680952,672.56
2025-08-17 11:00:00,2025-08-17 12:00:00,231.26,810.28,11,8,65.17615776597081,high,100-300,True,True,ok,ok,810.28,810.7869067330482,740.8228820158175,753.0450785146762,813.3454537801846,771.4656330073199,846.4697590566743,769.6474564782291,802.6811172762286,802.9268393775114,790.1323473599655,808.136146578848,813.3454537801846,582.0854537801846,579.02
2025-12-07 13:20:00,2025-12-07 14:20:00,956.4,1124.0,13,12,62.72933596037831,high,900+,True,True,ok,ok,1124.0,366.605787026682,290.58492313142614,310.60184980004,376.7374513696574,354.3016847633643,403.1757013544052,348.28635471138756,362.53961062708754,321.7848424799548,348.2909116960006,349.2611469248061,376.7374513696574,-579.6625486303426,167.60000000000002
2025-05-03 11:00:00,2025-05-03 12:00:00,240.82,895.99,11,5,65.19321937412174,high,100-300,True,True,ok,ok,895.99,822.0936154725216,749.8561190415442,754.4946156747676,818.5659742398473,816.1309524414041,837.4280884091096,841.7690006739398,815.6733342433655,845.2257175489125,811.2486019717124,831.8958458943798,818.5659742398473,577.7459742398473,655.1700000000001
2025-01-19 13:10:00,2025-01-19 14:10:00,990.1,1118.0,13,1,68.83277577954661,high,900+,True,True,ok,ok,1118.0,454.64440616013377,586.94287618587,595.9353956888253,412.5193658188891,435.70582348128715,452.02837394336314,345.1287776021833,405.29357109508675,381.97174497824835,452.24114832820965,397.24555539856874,412.5193658188891,-577.5806341811109,127.89999999999998
2025-10-17 12:40:00,2025-10-17 13:40:00,142.23000000000002,1046.1,12,10,76.89830884195221,high,100-300,True,True,ok,ok,1046.1,711.9561124851708,686.6069697606587,695.4389802976682,718.6005322820795,729.5500203707302,777.8052928996362,706.6317596866055,719.3518909307496,703.1153151345496,716.5618748719832,710.8579237083145,718.6005322820795,576.3705322820795,903.8699999999999
2025-09-12 11:00:00,2025-09-12 12:00:00,325.95,788.6400000000001,11,9,72.23105770192373,high,300-600,True,True,ok,ok,788.6400000000001,893.7009424879066,932.3159408141709,926.1129512769603,902.2982620130798,888.4709296338491,927.0404691146184,887.6749688690592,905.1072555238949,902.1067521373457,907.2031635412095,902.2025070752127,902.2982620130798,576.3482620130799,462.6900000000001
2025-10-11 12:50:00,2025-10-11 13:50:00,127.8,994.3,12,10,75.47382362816515,high,100-300,True,True,ok,ok,994.3,698.2939713988862,561.7793950267677,569.6960759996525,702.9210875553332,689.3128312050837,689.9941847807327,658.5745415355044,681.8461243980998,712.4099629321871,662.758686092472,707.6655252437602,702.9210875553332,575.1210875553332,866.5
2025-09-12 11:10:00,2025-09-12 12:10:00,334.74,701.72,11,9,74.39036407625613,high,300-600,True,True,ok,ok,701.72,905.123977801455,949.1267376494934,963.8897825392007,909.1551677427444,896.3599823019733,934.1833979556601,900.688545808343,910.3240179926144,910.538202598186,919.9322013766299,909.8466851704652,909.1551677427444,574.4151677427444,366.98
2025-04-13 08:40:00,2025-04-13 09:40:00,863.1,343.19999999999993,8,4,36.87908598465238,high,600-900,True,True,ok,ok,343.19999999999993,290.9201469367538,537.0809234148223,578.5467209137231,289.0702473417283,284.89419900310634,383.98097688759276,305.35939970095274,292.99307288706547,288.71560427366455,361.28458792882327,288.89292580769643,289.0702473417283,-574.0297526582717,-519.9000000000001
2025-09-27 09:50:00,2025-09-27 10:50:00,133.44,326.49,9,9,58.13188970517483,high,100-300,True,True,ok,ok,326.49,745.8812753379123,761.8389784740377,748.8359858847582,706.9022751651837,758.5164022625639,774.966633325543,724.8775515208629,717.4186859801251,716.5268741080941,739.5294068954533,711.7145746366389,706.9022751651837,573.4622751651837,193.05
2025-03-01 11:30:00,2025-03-01 12:30:00,295.46999999999997,880.2599999999999,11,3,77.13158911012395,high,100-300,True,True,ok,ok,880.2599999999999,879.815977541183,799.8829312826108,795.3059894063407,867.4240071127317,871.1712270181297,864.9076536441947,853.357341287758,861.9791837749912,864.4686068878319,850.9236575506412,865.9463070002819,867.4240071127317,571.9540071127317,584.79
2025-02-24 13:40:00,2025-02-24 14:40:00,925.7,1111.3,13,2,69.2757622145904,high,900+,True,True,ok,ok,1111.3,315.93703447870877,431.4167275466457,411.2146230374664,353.76565942422,335.1641739902303,451.2255061309147,278.2185166506575,309.28962070813515,303.6779221034011,354.4344204522644,328.72179076381053,353.76565942422,-571.93434057578,185.5999999999999
2025-02-27 09:20:00,2025-02-27 10:20:00,984.6600000000001,315.32,9,2,45.16342143431196,high,900+,True,True,ok,ok,315.32,390.8926563330684,593.7266644746383,618.0691923977297,415.65752766705515,377.21912206595647,458.56370291820735,364.7923490029923,409.62830638893524,386.622374036563,446.1302105872385,401.1399508518091,415.65752766705515,-569.002472332945,-669.3400000000001
2025-11-11 11:30:00,2025-11-11 12:30:00,311.5400000000001,667.37,11,11,75.7187208904623,high,300-600,True,True,ok,ok,667.37,903.3329765832299,916.5070102438092,940.385684030505,879.6622788528434,886.0230182357398,924.2960779414126,913.4242772447144,899.3282868902265,898.7260795806341,906.8539655114572,889.1941792167388,879.6622788528434,568.1222788528434,355.8299999999999
2025-03-15 10:40:00,2025-03-15 11:40:00,331.67999999999995,854.5,10,3,66.02089684066019,high,300-600,True,True,ok,ok,854.5,893.712701150548,954.2320568794585,960.6050929262906,898.8503634860211,920.5582295543699,886.1674398389954,919.9853395561076,919.6369896432174,921.7618489851743,919.5011180022425,910.3061062355978,898.8503634860211,567.1703634860212,522.82
2025-02-27 09:30:00,2025-02-27 10:30:00,973.64,315.46000000000004,9,2,47.63057861120687,high,900+,True,True,ok,ok,315.46000000000004,396.33666872452153,609.447531234542,634.3071962091142,406.5110849561095,380.0437383151877,466.78226563952825,353.77189221224296,380.55679441742376,377.5185713166613,445.03063811392565,392.0148281363854,406.5110849561095,-567.1289150438904,-658.18
2025-09-19 11:20:00,2025-09-19 12:20:00,216.85,729.74,11,9,78.47746275928937,high,100-300,True,True,ok,ok,729.74,772.2004889617948,840.499866740584,827.9766847806466,781.8542423020805,766.0719479667476,798.9842249507391,759.0979488111044,744.4566819471121,784.6810383842878,786.2025694272329,783.2676403431842,781.8542423020805,565.0042423020805,512.89
2025-03-01 11:10:00,2025-03-01 12:10:00,289.39,909.7,11,3,72.33941513990541,high,100-300,True,True,ok,ok,909.7,878.588343959164,773.768525640931,749.749581994093,853.8184284658785,851.1589656902896,848.4782593161563,873.4296945924976,849.8515622995516,851.1846248272777,836.6697763095377,852.5015266465781,853.8184284658785,564.4284284658785,620.3100000000001
2025-06-18 10:00:00,2025-06-18 11:00:00,167.79000000000002,524.3,10,6,48.768514280261215,high,100-300,True,True,ok,ok,524.3,727.3698137491646,756.5930631019015,744.8060775000148,731.4769921246387,731.9912103462348,780.9579930483899,747.364507026732,743.0444270723641,729.321052279377,743.6583484720909,730.3990222020079,731.4769921246387,563.6869921246387,356.50999999999993
2025-06-17 12:40:00,2025-06-17 13:40:00,950.29,162.29000000000002,12,6,61.57370475456396,high,900+,True,True,ok,ok,162.29000000000002,401.6896727363076,409.84138341760763,374.84141650042517,386.9763841312788,373.2906440917603,377.36042228624655,340.8084701242572,374.5637666726319,412.74849047589777,383.56896115960143,399.8624373035883,386.9763841312788,-563.3136158687212,-788.0
2025-09-19 14:00:00,2025-09-19 15:00:00,717.4399999999999,28.212,14,9,59.508926047966405,high,600-900,True,True,ok,ok,28.212,166.3350805151031,143.76226857343514,147.31769256580407,154.71189003427872,161.1791404094337,122.2904112039605,188.22441239466747,158.07458634224687,159.22467479030388,155.68001742547037,156.9682824122913,154.71189003427872,-562.7281099657212,-689.228
2025-08-15 13:10:00,2025-08-15 14:10:00,958.5,841.25,13,8,66.70240713910802,high,900+,True,True,ok,ok,841.25,387.08483425604845,532.6092443332111,599.0798110869341,397.6200781937016,386.7975612634827,530.5499472365116,285.53902203431807,359.13851918684685,322.96849512907335,422.3763903022364,360.29428666138745,397.6200781937016,-560.8799218062984,-117.25
2025-12-07 12:30:00,2025-12-07 13:30:00,1002.2300000000001,433.59,12,12,69.77244062123908,high,900+,True,True,ok,ok,433.59,437.2752301855015,659.7014634125738,677.8167738288325,443.0454691023511,471.5977394928543,587.6046475688183,331.0190156935274,467.2141903997984,422.3550229188181,499.73661695589726,432.7002460105846,443.0454691023511,-559.184530897649,-568.6400000000001
2025-10-06 11:50:00,2025-10-06 12:50:00,996.5200000000001,314.39,11,10,88.50158059491415,high,900+,True,True,ok,ok,314.39,422.13316979344216,730.1550781542817,730.9345429489995,437.88248595803356,434.0319226566173,536.1719672231453,393.8869679437876,408.03702561910944,444.9028778759314,504.23733757481637,441.3926819169825,437.88248595803356,-558.6375140419666,-682.1300000000001
2025-04-30 10:30:00,2025-04-30 11:30:00,256.51,565.12,10,4,60.45057508901325,high,100-300,True,True,ok,ok,565.12,833.5232515989064,819.4196102176429,843.1034185431464,813.6251481701744,829.0443977716895,875.6734953259801,823.0871586883276,833.4279707264791,825.5544243920757,832.9398750482692,819.589786281125,813.6251481701744,557.1151481701744,308.61
2025-04-23 12:50:00,2025-04-23 13:50:00,147.45,585.19,12,4,70.30033268933816,high,100-300,True,True,ok,ok,585.19,727.550353041661,825.8088954633187,829.0978801989438,702.1328219746525,717.9526335584309,716.9557151872192,670.8682723520077,716.7339820896792,729.4149990299237,737.3906169884264,715.7739105022881,702.1328219746525,554.6828219746526,437.74000000000007
2025-09-20 13:10:00,2025-09-20 14:10:00,73.86800000000001,638.7399999999999,13,9,71.66501682911469,high,0-100,True,True,ok,ok,638.7399999999999,666.1489468684634,678.4727269288554,681.9023482823089,624.9964417917071,682.1496387549829,703.6485328876364,671.1124821894805,660.3233922391732,629.3395591222439,666.4548965627614,627.1680004569755,624.9964417917071,551.128441791707,564.8719999999998
2025-10-24 09:40:00,2025-10-24 10:40:00,205.83,792.1600000000001,9,10,56.85341927724437,high,100-300,False,True,,ok,792.1600000000001,759.2705080643997,797.365752947895,804.3265161123686,756.8329970560133,770.0195745535448,836.8973524879725,751.8547281142261,780.7118437334035,768.5288584957609,780.6453479517317,762.6809277758871,756.8329970560133,551.0029970560132,586.33
